age,jobadmin.,jobblue.collar,jobentrepreneur,jobhousemaid,jobmanagement,jobretired,jobself.employed,jobservices,jobstudent,jobtechnician,jobunemployed,jobunknown,maritaldivorced,maritalmarried,maritalsingle,educationprimary,educationsecondary,educationtertiary,educationunknown,defaultno,defaultyes,balance,housingno,housingyes,loanno,loanyes,contactcellular,contacttelephone,contactunknown,campaign,pdays,previous,poutcomefailure,poutcomeother,poutcomesuccess,poutcomeunknown,deposityes
57,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,604,1,0,1,0,1,0,0,1,-1,0,0,0,0,1,0
45,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,1,0,1,0,0,1,-1,0,0,0,0,1,0
48,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,238,0,1,0,1,1,0,0,2,81,1,0,0,1,0,0
37,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,7944,1,0,1,0,1,0,0,1,-1,0,0,0,0,1,0
35,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,347,1,0,1,0,0,0,1,1,-1,0,0,0,0,1,0
52,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,5091,1,0,1,0,1,0,0,1,-1,0,0,0,0,1,0
60,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,8121,0,1,0,1,1,0,0,7,-1,0,0,0,0,1,0
55,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,608,0,1,1,0,1,0,0,2,-1,0,0,0,0,1,0
34,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,3723,0,1,1,0,0,0,1,5,-1,0,0,0,0,1,0
29,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,363,0,1,1,0,1,0,0,1,-1,0,0,0,0,1,0
43,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,130,0,1,1,0,0,0,1,1,-1,0,0,0,0,1,0
47,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,736,1,0,1,0,1,0,0,2,-1,0,0,0,0,1,0
31,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,84,1,0,1,0,1,0,0,4,-1,0,0,0,0,1,0
35,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,-482,0,1,1,0,0,0,1,1,-1,0,0,0,0,1,0
48,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,700,0,1,1,0,1,0,0,2,-1,0,0,0,0,1,0
53,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1388,1,0,1,0,1,0,0,4,-1,0,0,0,0,1,0
26,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,592,0,1,0,1,0,0,1,1,-1,0,0,0,0,1,0
56,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,411,1,0,1,0,0,0,1,4,-1,0,0,0,0,1,0
41,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,-104,0,1,1,0,0,0,1,3,-1,0,0,0,0,1,0
39,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,1,0,0,0,1,2,-1,0,0,0,0,1,0
43,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,13,1,0,0,1,1,0,0,4,-1,0,0,0,0,1,0
35,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1309,0,1,1,0,1,0,0,3,-1,0,0,0,0,1,0
33,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,-616,0,1,0,1,0,0,1,1,-1,0,0,0,0,1,0
36,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,2596,1,0,1,0,0,0,1,6,-1,0,0,0,0,1,0
49,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,5802,1,0,1,0,1,0,0,3,104,2,0,0,1,0,0
