age,jobadmin.,jobblue.collar,jobentrepreneur,jobhousemaid,jobmanagement,jobretired,jobself.employed,jobservices,jobstudent,jobtechnician,jobunemployed,jobunknown,maritaldivorced,maritalmarried,maritalsingle,educationprimary,educationsecondary,educationtertiary,educationunknown,defaultno,defaultyes,balance,housingno,housingyes,loanno,loanyes,contactcellular,contacttelephone,contactunknown,campaign,pdays,previous,poutcomefailure,poutcomeother,poutcomesuccess,poutcomeunknown,deposityes
34,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,258,0,1,1,0,0,0,1,2,-1,0,0,0,0,1,0
37,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,614,0,1,1,0,0,0,1,1,-1,0,0,0,0,1,0
52,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,117,1,0,0,1,1,0,0,2,-1,0,0,0,0,1,0
45,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,222,1,0,1,0,1,0,0,11,-1,0,0,0,0,1,0
30,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,1,0,1,0,0,2,-1,0,0,0,0,1,0
51,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,1,1,0,0,1,84,1,0,1,0,0,0
31,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,200,1,0,1,0,1,0,0,2,-1,0,0,0,0,1,0
31,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,2344,0,1,1,0,1,0,0,6,-1,0,0,0,0,1,0
50,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,1838,0,1,0,1,1,0,0,8,-1,0,0,0,0,1,0
53,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,549,1,0,1,0,0,1,0,2,-1,0,0,0,0,1,0
40,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,100,0,1,1,0,0,0,1,2,-1,0,0,0,0,1,0
41,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,686,0,1,1,0,1,0,0,3,-1,0,0,0,0,1,0
46,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,5,0,1,0,1,1,0,0,2,-1,0,0,0,0,1,0
42,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,-67,0,1,1,0,0,0,1,1,-1,0,0,0,0,1,0
32,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,250,0,1,1,0,0,0,1,1,-1,0,0,0,0,1,0
54,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,129,0,1,1,0,0,0,1,1,-1,0,0,0,0,1,0
39,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,1,0,0,0,1,1,-1,0,0,0,0,1,0
39,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,3518,0,1,1,0,1,0,0,1,-1,0,0,0,0,1,0
25,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,640,0,1,1,0,0,0,1,2,-1,0,0,0,0,1,0
40,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,1,0,0,0,1,2,-1,0,0,0,0,1,0
65,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,2756,1,0,1,0,1,0,0,2,-1,0,0,0,0,1,0
34,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,2047,0,1,1,0,1,0,0,5,-1,0,0,0,0,1,0
39,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,1,0,1,1,0,0,0,1,2,-1,0,0,0,0,1,0
35,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,538,0,1,1,0,0,0,1,4,-1,0,0,0,0,1,0
35,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,840,0,1,1,0,1,0,0,4,-1,0,0,0,0,1,0
25,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,1847,1,0,1,0,1,0,0,2,-1,0,0,0,0,1,0
34,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,40,0,1,1,0,1,0,0,2,-1,0,0,0,0,1,0
28,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,123,0,1,1,0,0,0,1,1,-1,0,0,0,0,1,0
34,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,601,1,0,1,0,1,0,0,3,-1,0,0,0,0,1,0
32,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,616,0,1,1,0,1,0,0,7,-1,0,0,0,0,1,0
41,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,849,0,1,0,1,1,0,0,4,-1,0,0,0,0,1,0
51,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,3413,1,0,1,0,1,0,0,7,-1,0,0,0,0,1,0
31,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,89,1,0,1,0,0,0,1,3,-1,0,0,0,0,1,0
30,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,596,1,0,1,0,1,0,0,2,-1,0,0,0,0,1,0
29,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,415,1,0,0,1,1,0,0,1,-1,0,0,0,0,1,0
30,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,233,0,1,1,0,0,0,1,10,-1,0,0,0,0,1,0
50,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,247,1,0,1,0,0,0,1,1,-1,0,0,0,0,1,0
54,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1851,1,0,1,0,0,0,1,3,-1,0,0,0,0,1,0
45,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,86,1,0,1,0,1,0,0,5,-1,0,0,0,0,1,0
33,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,192,1,0,1,0,1,0,0,1,-1,0,0,0,0,1,0
47,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,1,0,1,0,0,1,-1,0,0,0,0,1,0
37,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,-491,0,1,1,0,1,0,0,2,-1,0,0,0,0,1,0
44,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,5781,0,1,0,1,1,0,0,1,-1,0,0,0,0,1,0
37,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,1,0,1,0,0,6,-1,0,0,0,0,1,0
50,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,431,0,1,1,0,1,0,0,5,-1,0,0,0,0,1,0
55,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,2923,0,1,1,0,0,0,1,2,-1,0,0,0,0,1,0
26,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,16,1,0,0,1,1,0,0,2,-1,0,0,0,0,1,0
37,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,744,0,1,0,1,1,0,0,3,-1,0,0,0,0,1,0
33,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,322,0,1,1,0,1,0,0,3,-1,0,0,0,0,1,0
39,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,633,1,0,1,0,1,0,0,2,133,3,1,0,0,0,0
39,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,2749,0,1,1,0,1,0,0,1,-1,0,0,0,0,1,0
48,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,769,1,0,0,1,1,0,0,2,184,15,0,1,0,0,0
34,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1924,0,1,0,1,1,0,0,2,253,1,1,0,0,0,0
35,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,2971,1,0,1,0,1,0,0,2,-1,0,0,0,0,1,0
65,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,744,1,0,1,0,1,0,0,1,-1,0,0,0,0,1,0
43,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,9,0,1,1,0,1,0,0,5,401,1,1,0,0,0,0
32,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,1,0,1,0,0,2,-1,0,0,0,0,1,0
24,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,230,0,1,1,0,1,0,0,1,-1,0,0,0,0,1,0
29,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,344,0,1,0,1,0,0,1,2,-1,0,0,0,0,1,0
45,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,317,0,1,1,0,1,0,0,2,-1,0,0,0,0,1,0
36,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,223,0,1,1,0,0,0,1,3,-1,0,0,0,0,1,0
33,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,233,0,1,1,0,0,0,1,4,-1,0,0,0,0,1,0
34,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,612,1,0,1,0,1,0,0,1,-1,0,0,0,0,1,0
35,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,4872,0,1,1,0,1,0,0,3,-1,0,0,0,0,1,0
34,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,4943,0,1,0,1,1,0,0,2,-1,0,0,0,0,1,0
30,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,728,0,1,1,0,1,0,0,1,261,1,0,1,0,0,0
37,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,1,0,0,0,1,1,-1,0,0,0,0,1,0
29,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,6429,0,1,0,1,1,0,0,1,352,2,1,0,0,0,0
37,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,-57,0,1,0,1,1,0,0,5,-1,0,0,0,0,1,0
25,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,-375,0,1,1,0,1,0,0,2,-1,0,0,0,0,1,0
38,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,2669,0,1,1,0,1,0,0,2,-1,0,0,0,0,1,0
37,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,715,0,1,1,0,0,0,1,2,-1,0,0,0,0,1,0
35,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,674,0,1,1,0,0,0,1,2,-1,0,0,0,0,1,0
45,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,351,0,1,1,0,0,1,0,2,-1,0,0,0,0,1,0
44,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,777,0,1,1,0,1,0,0,3,350,2,1,0,0,0,0
31,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,997,0,1,1,0,1,0,0,1,190,3,1,0,0,0,0
45,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,-577,0,1,0,1,1,0,0,1,-1,0,0,0,0,1,0
57,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,1350,1,0,1,0,1,0,0,1,388,1,1,0,0,0,0
47,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,-245,0,1,0,1,0,0,1,4,-1,0,0,0,0,1,0
24,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,782,1,0,1,0,1,0,0,7,91,1,0,1,0,0,0
45,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,87,0,1,1,0,1,0,0,1,360,3,1,0,0,0,0
47,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,1,0,1,0,0,1,-1,0,0,0,0,1,0
39,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1388,0,1,1,0,1,0,0,5,-1,0,0,0,0,1,0
40,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,5807,0,1,1,0,0,0,1,1,-1,0,0,0,0,1,0
48,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,17,0,1,1,0,1,0,0,1,-1,0,0,0,0,1,0
59,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,235,1,0,1,0,1,0,0,2,-1,0,0,0,0,1,0
37,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,1,0,1,0,0,2,119,1,1,0,0,0,0
33,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,804,0,1,0,1,0,0,1,1,-1,0,0,0,0,1,0
49,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,-301,0,1,1,0,1,0,0,4,-1,0,0,0,0,1,0
