From.Grade,To.Grade,Is.Non.Annual.,Days,Tuition,FRP.Active,FRP.Cancelled,FRP.Take.up.percent.,Cancelled.Pax,Total.Discount.Pax,CRM.Segment,Parent.Meeting.Flag,Total.School.Enrollment,EZ.Pay.Take.Up.Rate,School.Sponsor,FPP,Total.Pax,SPR.Group.Revenue,NumberOfMeetingswithParents,DifferenceTraveltoFirstMeeting,DifferenceTraveltoLastMeeting,FPP.to.School.enrollment,FPP.to.PAX,Num.of.Non_FPP.PAX,Retained.in.2012.
4,4,0,1,424,25,3,0.424,3,4,4,1,927,0.17,1,59,63,424,1,155,155,0.06364617,0.936507937,4,1
8,8,0,7,2350,9,9,0.409,11,3,10,1,850,0.091,0,22,25,2350,2,423,140,0.025882353,0.88,3,1
8,8,0,3,1181,17,6,0.708,6,3,10,1,955,0.042,0,24,27,1181,1,124,124,0.02513089,0.888888889,3,1
6,8,0,6,865,40,8,0.494,9,8,10,1,720,0.383,0,81,89,865,1,145,145,0.1125,0.91011236,8,0
10,12,0,4,2025,9,4,0.9,3,1,8,1,939,0.1,0,10,11,2025,1,91,91,0.010649627,0.909090909,1,1
11,12,1,6,1977,16,4,0.64,5,2,8,1,225,0.08,0,25,27,1977,1,63,63,0.111111111,0.925925926,2,0
8,8,0,4,1428,51,1,0.773,1,6,5,1,635,0.136,0,66,72,1428,1,146,146,0.103937008,0.916666667,6,1
8,8,0,4,999,47,1,0.566,1,4,10,1,746,0.096,1,83,87,999,1,151,151,0.111260054,0.954022989,4,1
8,8,0,4,1388,32,0,0.8,0,5,10,1,650,0.3,1,40,45,1388,1,146,146,0.061538462,0.888888889,5,1
8,8,0,6,2278,10,6,0.455,6,1,5,1,670,0.136,0,22,23,2278,1,150,150,0.032835821,0.956521739,1,1
8,8,0,6,2339,20,1,0.625,2,4,5,1,750,0.125,0,32,36,2339,1,164,164,0.042666667,0.888888889,4,1
8,8,0,5,1830,22,1,0.733,4,3,6,1,753,0.167,0,30,33,1830,2,293,158,0.039840637,0.909090909,3,1
8,8,0,5,1880,5,1,0.556,1,1,7,1,467,0.444,0,9,10,1880,2,287,154,0.019271949,0.9,1,1
8,8,0,3,1393,25,2,0.658,3,3,10,1,360,0.395,0,38,41,1393,1,167,167,0.105555556,0.926829268,3,1
8,8,0,4,1271,33,9,0.733,9,5,1,1,345,0.311,0,45,50,1271,2,301,152,0.130434783,0.9,5,1
8,8,0,5,812,34,5,0.453,8,5,10,1,664,0.213,0,75,80,812,1,155,155,0.112951807,0.9375,5,1
11,12,1,7,2785,13,2,0.619,2,2,6,1,1693,0.286,0,21,23,2785,2,146,139,0.012404017,0.913043478,2,1
8,8,0,3,718,19,4,0.5,6,5,10,1,760,0.105,0,38,43,718,1,168,168,0.05,0.88372093,5,1
7,7,0,4,1362,15,0,0.75,1,2,10,1,641,0.2,0,20,22,1362,1,154,154,0.031201248,0.909090909,2,1
8,8,0,4,1899,9,1,0.818,0,1,5,1,1300,0.182,0,11,12,1899,1,148,148,0.008461538,0.916666667,1,1
8,8,0,5,662,50,3,0.27,5,12,5,1,685,0.011,0,185,197,662,1,144,144,0.270072993,0.939086294,12,1
8,8,0,5,726,27,1,0.587,3,4,5,1,604,0.196,0,46,50,726,2,281,150,0.07615894,0.92,4,1
7,8,0,3,999,12,0,0.857,0,2,10,1,320,0.286,0,14,16,999,1,158,158,0.04375,0.875,2,1
8,8,0,3,1174,28,5,0.718,7,4,5,1,794,0.308,0,39,43,1174,1,185,185,0.049118388,0.906976744,4,1
8,8,0,3,1174,72,13,0.686,15,7,5,1,955,0.229,0,105,112,1174,1,185,185,0.109947644,0.9375,7,1
8,8,0,3,1174,37,3,0.804,3,3,10,1,966,0.283,0,46,49,1174,1,186,186,0.047619048,0.93877551,3,1
6,8,0,5,2202,21,1,0.84,1,2,4,1,321,0.36,0,25,27,2202,1,172,172,0.07788162,0.925925926,2,1
8,8,0,6,2631,97,30,0.669,37,14,5,1,2393,0.2,0,145,159,2631,2,284,135,0.060593397,0.911949686,14,1
8,8,0,5,2049,43,3,0.606,5,9,5,1,783,0.268,1,71,80,2049,1,163,163,0.090676884,0.8875,9,1
8,8,0,6,2366,36,4,0.75,3,3,5,1,700,0.146,0,48,51,2366,2,346,170,0.068571429,0.941176471,3,1
8,8,1,6,2559,37,8,0.617,11,7,5,1,700,0.233,0,60,67,2559,1,142,142,0.085714286,0.895522388,7,0
8,8,0,6,2907,18,3,0.667,5,3,4,1,430,0.222,0,27,30,2907,2,279,159,0.062790698,0.9,3,1
7,8,0,7,2949,31,1,0.775,0,4,5,1,562,0.175,0,40,44,2949,2,143,38,0.071174377,0.909090909,4,1
8,8,0,5,1399,25,0,0.758,0,2,10,1,522,0.273,0,33,35,1399,1,314,314,0.063218391,0.942857143,2,1
8,8,0,3,935,4,0,0.121,2,3,10,1,351,0,0,33,36,935,1,-204,-204,0.094017094,0.916666667,3,1
8,8,0,5,2077,2,3,0.5,3,1,5,1,1306,0,0,4,5,2077,2,161,145,0.003062787,0.8,1,1
8,8,0,5,2077,8,6,0.727,4,1,5,1,1008,0.273,0,11,12,2077,1,145,145,0.010912698,0.916666667,1,0
8,8,0,4,1138,70,7,0.636,10,13,4,1,240,0.355,0,110,123,1138,1,148,148,0.458333333,0.894308943,13,1
8,8,0,4,1550,44,6,0.898,7,2,10,1,880,0.388,0,49,51,1550,1,162,162,0.055681818,0.960784314,2,1
8,8,0,4,1149,20,2,0.87,3,4,5,1,650,0.217,0,23,27,1149,2,317,154,0.035384615,0.851851852,4,1
11,12,0,6,2154,4,2,0.5,2,1,5,1,1325,0.25,1,8,9,2154,1,184,184,0.006037736,0.888888889,1,1
8,8,0,5,1684,11,2,0.579,2,1,5,1,412,0.368,1,19,20,1684,1,189,189,0.046116505,0.95,1,1
8,8,0,4,1163,46,3,0.697,3,7,10,1,750,0.136,0,66,73,1163,1,196,196,0.088,0.904109589,7,1
9,9,0,5,1321,37,4,0.638,7,4,10,1,824,0.31,0,58,62,1321,1,174,174,0.07038835,0.935483871,4,1
8,8,0,3,1460,38,1,0.576,2,4,5,1,1023,0.167,0,66,70,1460,1,163,163,0.064516129,0.942857143,4,1
9,12,0,4,1589,2,3,0.167,4,1,8,1,1688,0,0,12,13,1589,1,147,147,0.007109005,0.923076923,1,0
7,8,1,4,1477,12,1,0.571,2,1,10,1,200,0.143,0,21,22,1477,1,392,392,0.105,0.954545455,1,0
8,8,0,3,851,50,1,0.746,1,4,10,1,1555,0.149,0,67,71,851,1,181,181,0.043086817,0.943661972,4,1
5,6,1,5,1813,36,8,0.72,8,3,4,1,400,0.28,0,50,53,1813,2,196,121,0.125,0.943396226,3,0
8,8,0,3,987,94,10,0.686,10,13,5,1,1232,0.219,0,137,150,987,1,32,32,0.111201299,0.913333333,13,1
7,7,0,3,1040,65,6,0.707,5,10,10,1,478,0.196,0,92,102,1040,1,162,162,0.192468619,0.901960784,10,1
8,8,0,5,899,34,5,0.642,8,4,2,1,669,0.17,0,53,57,899,2,297,178,0.07922272,0.929824561,4,1
8,8,0,8,2048,16,6,0.246,7,8,7,1,495,0.154,0,65,73,2048,1,166,166,0.131313131,0.890410959,8,1
8,8,0,4,1319,16,3,0.485,9,5,10,1,835,0.152,0,33,38,1319,2,290,178,0.039520958,0.868421053,5,1
8,8,0,5,1924,20,11,0.741,14,3,10,1,996,0.185,0,27,30,1924,1,173,173,0.027108434,0.9,3,1
8,8,0,5,849,46,18,0.455,21,8,8,1,497,0.168,0,101,109,849,1,150,150,0.203219316,0.926605505,8,1
8,8,0,5,1268,1,0,0.031,0,3,10,1,310,0,0,32,35,1268,1,157,157,0.103225806,0.914285714,3,1
6,6,0,6,1393,11,4,0.611,4,2,10,1,550,0.111,0,18,20,1393,2,283,188,0.032727273,0.9,2,1
8,8,0,7,2571,16,4,0.246,6,4,10,1,610,0.092,0,65,69,2571,1,137,137,0.106557377,0.942028986,4,1
8,8,0,7,2389,38,1,0.623,1,5,5,1,864,0.312,1,61,66,2389,1,185,185,0.070601852,0.924242424,5,1
7,8,1,4,1324,41,1,0.774,3,5,10,1,365,0.245,0,53,58,1324,1,202,202,0.145205479,0.913793103,5,0
8,8,0,5,1984,3,1,0.231,3,1,5,1,511,0.154,0,13,14,1984,1,167,167,0.025440313,0.928571429,1,1
8,8,0,5,2267,26,0,0.743,0,4,5,1,372,0.171,0,35,39,2267,1,158,158,0.094086022,0.897435897,4,1
7,8,0,5,1742,28,11,0.966,10,2,10,1,375,0.172,0,29,31,1742,1,175,175,0.077333333,0.935483871,2,1
8,8,0,6,1099,50,4,0.676,6,7,10,1,682,0.284,0,74,81,1099,1,181,181,0.108504399,0.913580247,7,1
7,8,1,4,1467,34,9,0.708,9,4,10,1,552,0.208,0,48,52,1467,1,196,196,0.086956522,0.923076923,4,0
8,8,0,4,1630,58,12,0.753,12,10,5,1,688,0.143,0,77,87,1630,2,315,189,0.111918605,0.885057471,10,1
8,8,0,6,1099,16,3,0.5,2,2,10,1,330,0.219,0,32,34,1099,1,181,181,0.096969697,0.941176471,2,1
8,8,0,6,1854,18,1,0.514,1,3,10,1,315,0.486,0,35,38,1854,2,380,181,0.111111111,0.921052632,3,0
7,8,0,3,890,6,6,0.4,7,1,10,1,650,0.2,0,15,16,890,1,178,178,0.023076923,0.9375,1,0
8,8,0,3,1163,149,22,0.823,20,13,5,1,468,0.116,0,181,194,1163,1,161,161,0.386752137,0.932989691,13,1
9,9,0,4,1445,49,3,0.628,4,5,5,1,1102,0.269,0,78,83,1445,2,168,167,0.070780399,0.939759036,5,1
8,9,0,5,1229,27,4,0.643,3,3,10,1,780,0.167,1,42,45,1229,1,157,157,0.053846154,0.933333333,3,1
8,8,0,5,2164,12,15,0.667,21,3,5,1,570,0.333,0,18,21,2164,2,380,196,0.031578947,0.857142857,3,0
8,8,0,3,1149,24,2,0.828,3,2,5,1,1140,0.31,0,29,31,1149,1,143,143,0.025438596,0.935483871,2,1
8,12,1,4,1299,6,2,0.667,2,1,10,1,452,0.222,0,9,10,1299,2,312,178,0.019911504,0.9,1,0
7,8,1,5,1620,23,3,0.575,2,2,10,1,700,0.3,0,40,42,1620,1,162,162,0.057142857,0.952380952,2,0
5,6,0,5,1849,13,9,0.52,10,4,10,1,1590,0.16,0,25,29,1849,2,333,190,0.01572327,0.862068966,4,1
8,8,0,4,1217,13,1,0.619,1,1,10,1,780,0.191,0,21,22,1217,1,199,199,0.026923077,0.954545455,1,1
6,8,1,6,1844,9,2,0.429,2,2,10,1,184,0.143,0,21,23,1844,1,190,190,0.114130435,0.913043478,2,0
8,8,0,4,1047,21,2,0.568,1,4,10,1,760,0.324,0,37,41,1047,2,332,192,0.048684211,0.902439024,4,1
8,8,0,7,2277,11,1,0.647,1,1,10,1,165,0.471,1,17,18,2277,1,170,170,0.103030303,0.944444444,1,1
8,8,0,4,1658,12,3,0.706,2,1,10,1,1450,0.235,0,17,18,1658,1,192,192,0.011724138,0.944444444,1,1
8,8,0,4,1463,5,5,0.357,5,2,10,1,995,0.071,0,14,16,1463,1,177,177,0.014070352,0.875,2,1
8,8,0,4,1299,6,7,0.857,9,1,10,1,923,0.143,0,7,8,1299,1,165,165,0.007583965,0.875,1,1
